"Date","Price","Open","High","Low","Change %"
"Aug 25, 2015","1.5688","1.5778","1.5820","1.5679","-0.56%"
"Aug 24, 2015","1.5776","1.5701","1.5804","1.5630","0.50%"
"Aug 21, 2015","1.5697","1.5687","1.5725","1.5657","0.06%"
"Aug 20, 2015","1.5688","1.5678","1.5702","1.5605","0.05%"
"Aug 19, 2015","1.5680","1.5657","1.5701","1.5635","0.12%"
"Aug 18, 2015","1.5661","1.5591","1.5722","1.5565","0.47%"
"Aug 17, 2015","1.5587","1.5645","1.5692","1.5582","-0.38%"
"Aug 14, 2015","1.5646","1.5608","1.5661","1.5589","0.23%"
"Aug 13, 2015","1.5610","1.5610","1.5640","1.5575","-0.03%"
"Aug 12, 2015","1.5615","1.5571","1.5662","1.5534","0.27%"
"Aug 11, 2015","1.5573","1.5587","1.5613","1.5553","-0.09%"
"Aug 10, 2015","1.5587","1.5491","1.5605","1.5456","0.58%"
"Aug 07, 2015","1.5497","1.5509","1.5545","1.5423","-0.10%"
"Aug 06, 2015","1.5512","1.5602","1.5638","1.5468","-0.58%"
"Aug 05, 2015","1.5602","1.5564","1.5652","1.5526","0.24%"
"Aug 04, 2015","1.5564","1.5589","1.5636","1.5557","-0.15%"
"Aug 03, 2015","1.5587","1.5627","1.5648","1.5566","-0.24%"
"Jul 31, 2015","1.5624","1.5602","1.5679","1.5549","0.14%"
"Jul 30, 2015","1.5602","1.5598","1.5640","1.5562","-0.01%"
"Jul 29, 2015","1.5604","1.5614","1.5692","1.5589","-0.04%"
"Jul 28, 2015","1.5611","1.5558","1.5629","1.5528","0.34%"
"Jul 27, 2015","1.5558","1.5511","1.5596","1.5492","0.28%"
"Jul 24, 2015","1.5514","1.5514","1.5527","1.5467","0.00%"
"Jul 23, 2015","1.5514","1.5616","1.5673","1.5501","-0.64%"
"Jul 22, 2015","1.5614","1.5558","1.5646","1.5545","0.36%"
"Jul 21, 2015","1.5558","1.5562","1.5591","1.5528","-0.05%"
"Jul 20, 2015","1.5566","1.5610","1.5629","1.5539","-0.28%"
"Jul 17, 2015","1.5609","1.5610","1.5672","1.5555","-0.01%"
"Jul 16, 2015","1.5610","1.5642","1.5654","1.5562","-0.17%"
"Jul 15, 2015","1.5637","1.5634","1.5676","1.5577","0.01%"
"Jul 14, 2015","1.5636","1.5491","1.5644","1.5455","0.96%"
"Jul 13, 2015","1.5488","1.5505","1.5591","1.5480","-0.24%"
"Jul 10, 2015","1.5526","1.5381","1.5551","1.5362","0.95%"
"Jul 09, 2015","1.5380","1.5361","1.5423","1.5344","0.12%"
"Jul 08, 2015","1.5362","1.5463","1.5467","1.5330","-0.65%"
"Jul 07, 2015","1.5462","1.5602","1.5610","1.5414","-0.92%"
"Jul 06, 2015","1.5606","1.5538","1.5633","1.5535","0.23%"
"Jul 03, 2015","1.5570","1.5610","1.5646","1.5558","-0.25%"
"Jul 02, 2015","1.5609","1.5616","1.5641","1.5563","-0.06%"
"Jul 01, 2015","1.5618","1.5713","1.5737","1.5594","-0.58%"
