date,bidclose,tickqty
2014-09-24 21:00:00,1.63384,147744
2014-09-25 21:00:00,1.63142,196443
2014-09-26 21:00:00,1.62394,155952
2014-09-28 21:00:00,1.62362,527
2014-09-29 21:00:00,1.62395,154921
2014-09-30 21:00:00,1.62116,204775
2014-10-01 21:00:00,1.61839,180142
2014-10-02 21:00:00,1.61429,229121
2014-10-03 21:00:00,1.59597,165278
2014-10-05 21:00:00,1.59544,582
2014-10-06 21:00:00,1.60816,132519
2014-10-07 21:00:00,1.60925,186393
2014-10-08 21:00:00,1.6166,200590
2014-10-09 21:00:00,1.61166,208631
2014-10-10 21:00:00,1.60712,206080
2014-10-12 21:00:00,1.60731,820
2014-10-13 21:00:00,1.60805,188719
2014-10-14 21:00:00,1.59004,217545
2014-10-15 21:00:00,1.60175,390116
2014-10-16 21:00:00,1.60855,369118
2014-10-17 21:00:00,1.60865,198705
2014-10-19 21:00:00,1.61017,1263
2014-10-20 21:00:00,1.61622,158550
2014-10-21 21:00:00,1.61074,171400
2014-10-22 21:00:00,1.60495,180580
2014-10-23 21:00:00,1.60268,172651
2014-10-24 21:00:00,1.60863,153768
2014-10-26 21:00:00,1.6078,648
2014-10-27 21:00:00,1.61187,124482
2014-10-28 21:00:00,1.61302,158581
2014-10-29 21:00:00,1.60108,167483
2014-10-30 21:00:00,1.59987,184651
2014-10-31 21:00:00,1.59943,232883
2014-11-02 22:00:00,1.59602,963
2014-11-03 22:00:00,1.59707,188282
2014-11-04 22:00:00,1.60016,171396
2014-11-05 22:00:00,1.59746,212757
2014-11-06 22:00:00,1.58301,278895
2014-11-07 22:00:00,1.58697,240123
2014-11-09 22:00:00,1.58822,647
2014-11-10 22:00:00,1.58412,154072
2014-11-11 22:00:00,1.59153,163744
2014-11-12 22:00:00,1.57753,255452
2014-11-13 22:00:00,1.57086,185365
2014-11-14 22:00:00,1.56663,231300
2014-11-16 22:00:00,1.56815,680
2014-11-17 22:00:00,1.56393,173730
2014-11-18 22:00:00,1.56298,176573
2014-11-19 22:00:00,1.56811,212584
2014-11-20 22:00:00,1.56917,256186
2014-11-21 22:00:00,1.56526,291203
2014-11-23 22:00:00,1.56352,270
2014-11-24 22:00:00,1.57046,216244
2014-11-25 22:00:00,1.57064,237694
2014-11-26 22:00:00,1.57902,235097
2014-11-27 22:00:00,1.57352,212365
2014-11-28 22:00:00,1.56514,258363
2014-11-30 22:00:00,1.5648,342
2014-12-01 22:00:00,1.57283,291557
2014-12-02 22:00:00,1.56358,230551
2014-12-03 22:00:00,1.56849,248328
2014-12-04 22:00:00,1.56722,327015
2014-12-05 22:00:00,1.55829,248180
2014-12-07 22:00:00,1.55685,405
2014-12-08 22:00:00,1.56462,241782
2014-12-09 22:00:00,1.5662,311317
2014-12-10 22:00:00,1.5715,269618
2014-12-11 22:00:00,1.57297,298950
2014-12-12 22:00:00,1.57151,250706
2014-12-14 22:00:00,1.5723,630
2014-12-15 22:00:00,1.56357,256000
2014-12-16 22:00:00,1.57482,316024
2014-12-17 22:00:00,1.5573,374844
2014-12-18 22:00:00,1.56654,286894
2014-12-19 22:00:00,1.56209,227903
2014-12-21 22:00:00,1.56209,199
2014-12-22 22:00:00,1.55885,154952
2014-12-23 22:00:00,1.55179,208558
2014-12-24 22:00:00,1.55558,163983
2014-12-26 22:00:00,1.55546,123805
2014-12-28 22:00:00,1.55594,377
2014-12-29 22:00:00,1.55096,164309
2014-12-30 22:00:00,1.55593,198021
2014-12-31 22:00:00,1.55746,164723
2015-01-02 22:00:00,1.53256,191340
2015-01-04 22:00:00,1.53018,1926
2015-01-05 22:00:00,1.52449,278410
2015-01-06 22:00:00,1.51503,276782
2015-01-07 22:00:00,1.51095,307334
2015-01-08 22:00:00,1.50837,239849
2015-01-09 22:00:00,1.51562,295386
2015-01-11 22:00:00,1.51754,919
2015-01-12 22:00:00,1.51709,209905
2015-01-13 22:00:00,1.51552,257256
2015-01-14 22:00:00,1.52299,304587
2015-01-15 22:00:00,1.51762,434879
2015-01-16 22:00:00,1.51316,364180
2015-01-18 22:00:00,1.51209,354
2015-01-19 22:00:00,1.51093,341688
2015-01-20 22:00:00,1.51421,232784
2015-01-21 22:00:00,1.51409,277620
2015-01-22 22:00:00,1.50083,345018
2015-01-23 22:00:00,1.49902,345660
2015-01-25 22:00:00,1.50106,2248
2015-01-26 22:00:00,1.50567,233832
2015-01-27 22:00:00,1.51945,254883
2015-01-28 22:00:00,1.51312,262553
2015-01-29 22:00:00,1.50622,225103
2015-01-30 22:00:00,1.50492,227469
2015-02-01 22:00:00,1.50967,2053
2015-02-02 22:00:00,1.50384,171864
2015-02-03 22:00:00,1.51648,191097
2015-02-04 22:00:00,1.51786,187738
